k=7 : a=10, b=24, c=14, length = 96, b == a+c - True, <lcm - True
k=7 : a=14, b=24, c=10, length = 96, b == a+c - True, <lcm - True
k=7 : a=12, b=40, c=28, length = 160, b == a+c - True, <lcm - True
k=7 : a=28, b=40, c=12, length = 160, b == a+c - True, <lcm - True
k=7 : a=12, b=42, c=30, length = 168, b == a+c - True, <lcm - True
k=7 : a=30, b=42, c=12, length = 168, b == a+c - True, <lcm - True
k=7 : a=20, b=48, c=28, length = 192, b == a+c - True, <lcm - True
k=7 : a=28, b=48, c=20, length = 192, b == a+c - True, <lcm - True
k=7 : a=14, b=50, c=36, length = 200, b == a+c - True, <lcm - True
k=7 : a=36, b=50, c=14, length = 200, b == a+c - True, <lcm - True
k=7 : a=20, b=56, c=36, length = 224, b == a+c - True, <lcm - True
k=7 : a=36, b=56, c=20, length = 224, b == a+c - True, <lcm - True
k=7 : a=4, b=60, c=56, length = 240, b == a+c - True, <lcm - True
k=7 : a=7, b=60, c=53, length = 240, b == a+c - True, <lcm - True
k=7 : a=11, b=60, c=49, length = 240, b == a+c - True, <lcm - True
k=7 : a=14, b=60, c=46, length = 240, b == a+c - True, <lcm - True
k=7 : a=18, b=60, c=42, length = 240, b == a+c - True, <lcm - True
k=7 : a=21, b=60, c=39, length = 240, b == a+c - True, <lcm - True
k=7 : a=25, b=60, c=35, length = 240, b == a+c - True, <lcm - True
k=7 : a=28, b=60, c=32, length = 240, b == a+c - True, <lcm - True
k=7 : a=32, b=60, c=28, length = 240, b == a+c - True, <lcm - True
k=7 : a=35, b=60, c=25, length = 240, b == a+c - True, <lcm - True
k=7 : a=39, b=60, c=21, length = 240, b == a+c - True, <lcm - True
k=7 : a=42, b=60, c=18, length = 240, b == a+c - True, <lcm - True
k=7 : a=46, b=60, c=14, length = 240, b == a+c - True, <lcm - True
k=7 : a=49, b=60, c=11, length = 240, b == a+c - True, <lcm - True
k=7 : a=53, b=60, c=7, length = 240, b == a+c - True, <lcm - True
k=7 : a=56, b=60, c=4, length = 240, b == a+c - True, <lcm - True
k=7 : a=3, b=63, c=60, length = 252, b == a+c - True, <lcm - True
k=7 : a=60, b=63, c=3, length = 252, b == a+c - True, <lcm - True
k=7 : a=7, b=67, c=60, length = 268, b == a+c - True, <lcm - True
k=7 : a=60, b=67, c=7, length = 268, b == a+c - True, <lcm - True
k=7 : a=10, b=70, c=60, length = 280, b == a+c - True, <lcm - True
k=7 : a=12, b=70, c=58, length = 280, b == a+c - True, <lcm - True
k=7 : a=22, b=70, c=48, length = 280, b == a+c - True, <lcm - True
k=7 : a=24, b=70, c=46, length = 280, b == a+c - True, <lcm - True
k=7 : a=34, b=70, c=36, length = 280, b == a+c - True, <lcm - True
k=7 : a=36, b=70, c=34, length = 280, b == a+c - True, <lcm - True
k=7 : a=46, b=70, c=24, length = 280, b == a+c - True, <lcm - True
k=7 : a=48, b=70, c=22, length = 280, b == a+c - True, <lcm - True
k=7 : a=58, b=70, c=12, length = 280, b == a+c - True, <lcm - True
k=7 : a=60, b=70, c=10, length = 280, b == a+c - True, <lcm - True
k=7 : a=2, b=72, c=70, length = 288, b == a+c - True, <lcm - True
k=7 : a=30, b=72, c=42, length = 288, b == a+c - True, <lcm - True
k=7 : a=42, b=72, c=30, length = 288, b == a+c - True, <lcm - True
k=7 : a=70, b=72, c=2, length = 288, b == a+c - True, <lcm - True
k=7 : a=14, b=74, c=60, length = 296, b == a+c - True, <lcm - True
k=7 : a=60, b=74, c=14, length = 296, b == a+c - True, <lcm - True
k=7 : a=17, b=77, c=60, length = 308, b == a+c - True, <lcm - True
k=7 : a=60, b=77, c=17, length = 308, b == a+c - True, <lcm - True
k=7 : a=24, b=80, c=56, length = 320, b == a+c - True, <lcm - True
k=7 : a=56, b=80, c=24, length = 320, b == a+c - True, <lcm - True
k=7 : a=21, b=81, c=60, length = 324, b == a+c - True, <lcm - True
k=7 : a=60, b=81, c=21, length = 324, b == a+c - True, <lcm - True
k=7 : a=12, b=82, c=70, length = 328, b == a+c - True, <lcm - True
k=7 : a=70, b=82, c=12, length = 328, b == a+c - True, <lcm - True
k=7 : a=4, b=84, c=80, length = 336, b == a+c - True, <lcm - True
k=7 : a=10, b=84, c=74, length = 336, b == a+c - True, <lcm - True
k=7 : a=14, b=84, c=70, length = 336, b == a+c - True, <lcm - True
k=7 : a=20, b=84, c=64, length = 336, b == a+c - True, <lcm - True
k=7 : a=24, b=84, c=60, length = 336, b == a+c - True, <lcm - True
k=7 : a=30, b=84, c=54, length = 336, b == a+c - True, <lcm - True
k=7 : a=34, b=84, c=50, length = 336, b == a+c - True, <lcm - True
k=7 : a=40, b=84, c=44, length = 336, b == a+c - True, <lcm - True
k=7 : a=44, b=84, c=40, length = 336, b == a+c - True, <lcm - True
k=7 : a=50, b=84, c=34, length = 336, b == a+c - True, <lcm - True
k=7 : a=54, b=84, c=30, length = 336, b == a+c - True, <lcm - True
