k=5 : a=1, b=6, c=5, d=4, length=32
k=6 : a=1, b=6, c=5, d=4, length=32
k=7 : a=2, b=14, c=12, d=10, length=76
k=8 : a=28, b=60, c=32, d=4, length=248
k=9 : a=18, b=60, c=42, d=24, length=288
k=10 : a=18, b=60, c=42, d=24, length=288
k=11 : a=48, b=180, c=132, d=84, length=888
k=12 : a=198, b=420, c=222, d=24, length=1728
k=13 : a=312, b=840, c=528, d=216, length=3792
k=14 : a=780, b=1980, c=1200, d=420, length=8760
k=15 : a=1194, b=2520, c=1326, d=132, length=10344
k=16 : a=780, b=4080, c=3300, d=2520, length=21360
k=17 : a=780, b=4080, c=3300, d=2520, length=21360
k=18 : a=13260, b=27720, c=14460, d=1200, length=113280
k=19 : a=7980, b=43680, c=35700, d=27720, length=230160
k=20 : a=7980, b=43680, c=35700, d=27720, length=230160
k=21 : a=7980, b=43680, c=35700, d=27720, length=230160
k=22 : a=23940, b=131040, c=107100, d=83160, length=690480
k=23 : a=164220, b=360360, c=196140, d=31920, length=1505280
k=24 : a=164220, b=360360, c=196140, d=31920, length=1505280
