01010101101010101001010101010110 10010101010101101010101001010101
0101010101011010101010101010101001010101 1010101001010101010101010101101010101010
0101010101010101011010101010101010101001010101101010 0101011010101001010101010101010101101010101010101010
010101011010010101010101010110101010101010101010010101011010010110101010 010101011010010110101010010101010101010101011010101010101010010110101010
01010101010101011010101010101010101001010101101010 01011010101001010101010101010101101010101010101010
10100110011001011001100101100110 01100110100110011010011001100101
00000011011 11011000000
00101001100111000010001101100000000011011000110110001000011100110010100 00101001100111000010001101100011011000000000110110001000011100110010100
00000011011 11011000000
01010101010101101010101010101010100101010110 01101010100101010101010101010110101010101010


