0101010101010101011010101010101010101001010101101010 0101011010101001010101010101010101101010101010101010 separated by 163285
01010101010101010101101010101010101010100101010110101010 01010101101010100101010101010101010110101010101010101010 separated by 163285
10010101010101010101101010101010101010100101010110101001 10010101101010100101010101010101010110101010101010101001 separated by 163285
001101010101010101010110101010101010101010010101011010101100 001101010110101010010101010101010101011010101010101010101100 separated by 163298
010101010101010101010110101010101010101010010101011010101010 010101010110101010010101010101010101011010101010101010101010 separated by 163285
011001010101010101010110101010101010101010010101011010100110 011001010110101010010101010101010101011010101010101010100110 separated by 163285
01100110010110011001011010011001101001100110011001100110011001100110 01100110011001100110011001100110010110011001011010011001101001100110 separated by 164835
100101010101010101010110101010101010101010010101011010101001 100101010110101010010101010101010101011010101010101010101001 separated by 298412
1001100110011001100110011001100110100110011001100110010110011001 1001100110100110011001100110010110011001100110011001100110011001 separated by 162555
101001010101010101010110101010101010101010010101011010100101 101001010110101010010101010101010101011010101010101010100101 separated by 163285
101010010101010101010110101010101010101010010101011010010101 101010010110101010010101010101010101011010101010101010010101 separated by 160527
110001010101010101010110101010101010101010010101011010100011 110001010110101010010101010101010101011010101010101010100011 separated by 163285
0001110101010101010101011010101010101010101001010101101010111000 0001110101011010101001010101010101010101101010101010101010111000 separated by 163285
0010101101010101010101011010101010101010101001010101101011010100 0010101101011010101001010101010101010101101010101010101011010100 separated by 163288
0010110101010101010101011010101010101010101001010101101010110100 0010110101011010101001010101010101010101101010101010101010110100 separated by 163285
0011010101010101010101011010101010101010101001010101101010101100 0011010101011010101001010101010101010101101010101010101010101100 separated by 163285
0011100101010101010101011010101010101010101001010101101010011100 0011100101011010101001010101010101010101101010101010101010011100 separated by 163290
0100110101010101010101011010101010101010101001010101101010110010 0100110101011010101001010101010101010101101010101010101010110010 separated by 163297
0101001101010101010101011010101010101010101001010101101011001010 0101001101011010101001010101010101010101101010101010101011001010 separated by 161575
0101010101010101010101011010101010101010101001010101101010101010 0101010101011010101001010101010101010101101010101010101010101010 separated by 163287
0101011001010101010101011010101010101010101001010101101001101010 0101011001011010101001010101010101010101101010101010101001101010 separated by 160528
0101100101010101010101011010101010101010101001010101101010011010 0101100101011010101001010101010101010101101010101010101010011010 separated by 163285
010110011001011001100101101001100110100110011001100110011001100110011010 010110011001100110011001100110011001011001100101101001100110100110011010 separated by 164835
0110010101010101010101011010101010101010101001010101101010100110 0110010101011010101001010101010101010101101010101010101010100110 separated by 298410
01100110011001100110011001100110011010011001100110011001011001100110 01100110011010011001100110011001011001100110011001100110011001100110 separated by 166090
0110100101010101010101011010101010101010101001010101101010010110 0110100101011010101001010101010101010101101010101010101010010110 separated by 163285
0110101001010101010101011010101010101010101001010101101001010110 0110101001011010101001010101010101010101101010101010101001010110 separated by 160528
011010100101010101010101010101011010101010101010101010100101101001010110 011010100101101001010101010101010101010110101010101010101010101001010110 separated by 128735
0111000101010101010101011010101010101010101001010101101010001110 0111000101011010101001010101010101010101101010101010101010001110 separated by 163285
1000110101010101010101011010101010101010101001010101101010110001 1000110101011010101001010101010101010101101010101010101010110001 separated by 163297
1001010101010101010101011010101010101010101001010101101010101001 1001010101011010101001010101010101010101101010101010101010101001 separated by 163285
1001100101010101010101011010101010101010101001010101101010011001 1001100101011010101001010101010101010101101010101010101010011001 separated by 163285
100110011001011001100101101001100110100110011001100110011001100110011001 100110011001100110011001100110011001011001100101101001100110100110011001 separated by 298343
